"","WTBAS.1","WTBAS.2","WTBAS.3","KOBAS.1","KOBAS.2","KOBAS.3","WTVEN.1","WTVEN.2","WTVEN.3","KOVEN.1","KOVEN.2","KOVEN.3"
"Foxq1",6.67179465974651,6.58051455279865,6.82874094762455,7.1742671391415,6.7020440897005,6.864331677353,7.42302920854046,7.03094314233814,7.55477159673029,9.07882987121615,9.12839816632673,9.50333065920222
"Hk2",7.06834744985581,6.82209228289914,6.41970872487003,7.54735191629545,7.41070191536671,7.44072971321004,7.92127210374995,7.75441264907316,8.13713951218884,8.01513600463184,7.97073446883946,7.85561574101319
"Hmgcr",8.1666352058661,8.44594019312653,8.62334558079076,8.18191974611321,7.62306365811168,8.33673776780827,9.31672103464907,9.05976712860854,9.07991972485196,9.19645406511657,9.06601813124905,9.38378011419017
"Hmgcs2",8.91893228670868,8.98369702711537,8.3103826177247,8.67277981136581,8.22631799571353,8.28773914576148,7.66397454724351,7.96025988804659,7.58253758692886,8.54090995752364,8.27813665921272,7.96082295438796
"Hmox1",7.45094838707857,7.4031497515644,7.76860036695844,7.82752106214181,7.64386705725659,7.67734631633801,10.5275914299016,9.1312578723666,10.0355629662111,10.4098877317027,11.3428275901294,10.3822806898565
"Nr4a1",9.51627728341189,10.2397158572345,10.355723559739,9.69545586068207,10.1779175359103,9.33229274003132,9.92021907628532,9.00919924320856,9.17462448688507,11.5927477364911,11.1599073308282,11.77672369985
"Hsph1",7.42222678899831,7.14487921629649,7.79066724263887,8.16539964262608,7.22856475616344,7.87186827767894,8.57075201142826,7.41786670918596,8.32631137734301,10.0456800695272,9.63998134710856,10.6653864937548
"Hspb1",7.09395731468543,6.59554590925651,7.53372382143002,7.97771243551569,7.19994101693169,7.43740067448311,8.13594958815395,7.10469966326675,7.47303331258794,9.09342565772804,8.76641119393789,8.9917232314052
"Hspd1",7.98930239277727,7.99722312808067,7.99696839725611,8.31025190056593,7.77596092608853,8.02562633092867,8.38983848721177,8.2095653898114,8.56584960930079,9.29456465539284,8.98303763935079,9.66291802988765
"Hsp90aa1",8.148150323948,8.18273650809474,8.03615554556444,8.53881276982071,8.14647714380887,8.51144134873015,8.74095818469837,8.65159777042648,8.59362367164983,9.6660896187827,9.43304068751132,9.90048372241656
